;Top;;Midt;;Bund;
39;;;;;;
38;Grønkål;X;;X;Hokkaido;X
37;Grønkål;X;Ærter;X;Hokkaido;X
36;Grønkål;X;Ærter;X;Blomkål / Broccoli;X
35;Grønkål;X;;X;Blomkål / Broccoli;X
34;Grønkål;X;Gulerødder Robila;X;Blomkål / Broccoli;X
33;Rosenkål;X;Gulerødder Robila;X;Hvidkål / Rødkål / Savoykål;X
32;Rosenkål;X;Gulerødder Solvita;X;Hvidkål / Rødkål / Savoykål;X
31;Rosenkål;X;Gulerødder Solvita;X;Hvidkål / Rødkål / Savoykål;X
30;Rosenkål;X;Sølvbeder;X;Hvidkål / Rødkål / Savoykål;X
29;Rosenkål;X;Rødbeder / bolsje beder;X;Hvidkål / Rødkål / Savoykål;X
28;Spidskål;X;Rødbeder;X;Majs;X
27;Spidskål;X;Rødbeder;X;Majs;X
26;Spidskål;X;Pastinak;X;Majs;X
25;Spidskål;X;Persillerødder;X;Salat ;X
24;Broccoli;X;Dild;X;Salat / Kartofler ;X
23;Broccoli;X;Radiser;X;Kartofler ;X
22;Broccoli;X;Borlotti;X;Kartofler ;X
21;Selleri / Broccoli;X;Bønner;X;Kartofler ;X
20;Selleri;X;Bananskalotte ;X;Majs;X
19;Selleri;X;Salat / Skalotteløg ;X;Majs;X
18;Porrer;X;Gulerødder;X;Persille;X
17;Porrer;X;Gulerødder;X;Persille;X
16;Porrer;X;Ærter;X;Persille;X
15;Porrer;X;Løg ;X;Spidskål;X
14;Porrer;X;Løg ;X;Spidskål;X
13;Bladselleri;X;Løg ;X;Spidskål;X
12;Bønner ;X;Løg ;X;Kålrabi;X
11;Bønner ;X;Løg ;X;Glaskål;X
10;Salat / Fennikel / Spinat;X;Løg ;X;Blomster ;X
9;Salat / Fennikel / Spinat;X;Løg ;X;Blomster ;X
8;Salat / Fennikel / Spinat;X;Løg ;X;Blomster ;X
7;Salat / Fennikel / Spinat;X;Løg ;X;Kartofler ;X
6;Salat / Fennikel / Spinat;X;Løg ;X;Kartofler ;X
5;Salat / Fennikel / Spinat;X;Løg ;X;Kartofler ;X
4;Salat / Fennikel / Spinat;X;Løg ;X;Kartofler ;X
3;Squash ;X;Løg ;X;Kartofler ;X
2;Squash ;X;Løg ;X;Kartofler ;X
1;;X;;X;Hestebønner ;X
