;Top;;Midt;;Bund;
38;Grønkål;X;;X;;X
37;Grønkål;X;;X;;X
36;Grønkål;X;;X;;X
35;Grønkål;X;;X;;X
34;Grønkål;X;;X;;X
33;Rosenkål;X;;X;;X
32;Rosenkål;X;;X;;X
31;Rosenkål;X;;X;;X
30;Rosenkål;X;Sølvbeder;X;;X
29;Rosenkål;X;Rødbeder bolje beder;X;;X
28;Spidskål;X;Rødbeder;X;;X
27;Spidskål;X;Rødbeder;X;;X
26;Spidskål;X;Pastinak;X;;X
25;Spidskål;X;Persillerødder;X;;X
24;Broccoli;X;Dild;X;Kartofler ;X
23;Broccoli;X;Radiser;X;Kartofler ;X
22;Broccoli;X;Borlotti;X;Kartofler ;X
21;Broccoli;X;Bønner;X;Kartofler ;X
20;Majs ;X;Banan skalotte ;X;Majs;X
19;Majs ;X;Salat Skalotte ;X;Majs;X
18;Majs ;X;Gulerødder;X;Persille;X
17;Majs ;X;Gulerødder;X;Persille;X
16;Majs ;X;Ærter;X;Persille;X
15;Majs ;X;Løg ;X;Spidskål;X
14;;X;Løg ;X;Spidskål;X
13;;X;Løg ;X;Spidskål;X
12;;X;Løg ;X;Kålrabi;X
11;;X;Løg ;X;Glaskål;X
10;;X;Løg ;X;Blomster ;X
9;;X;Løg ;X;Blomster ;X
8;;X;Løg ;X;Blomster ;X
7;;X;Løg ;X;Kartofler ;X
6;;X;Løg ;X;Kartofler ;X
5;;X;Løg ;X;Kartofler ;X
4;;X;Løg ;X;Kartofler ;X
3;;X;Løg ;X;Kartofler ;X
2;;X;Løg ;X;Kartofler ;X
1;;X;;X;Hestebønner ;X
